strategy,symbol,direction,entry_time,exit_time,entry,exit,qty,entries,gross_pnl,fees,funding,net_pnl,initial_risk,r,holding_hours,reason
BASE,LINKUSDT,1,1641772800000,1641830400000,27.553769999999997,25.9750075992,1.8128208934766445,1,-2.8620134660055796,0.09703808643409434,0.0,-2.9590515524396737,2.959051552439674,-0.9999999999999999,16.0,STOP
BASE,UNIUSDT,1,1659052800000,1659355200000,9.28464,8.1955751625,5.379858556718403,1,-5.859014784845505,0.09404108511525441,0.0,-5.95305586996076,5.390137785304604,-1.1044348228334473,84.0,STOP
BASE,XRPUSDT,1,1663891200000,1663905600000,0.48634304999999994,0.4801058469900001,102.70538450184486,1,-0.6405943333580996,0.09925950556674182,0.0,-0.7398538389248414,0.7398538389248414,-1.0,4.0,STOP
BASE,UNIUSDT,1,1667088000000,1667174400000,7.103549999999999,6.822340123500001,7.031702451598139,1,-1.9773841779986485,0.09792271572210126,0.0,-2.0753068937207497,2.0753068937207497,-1.0,24.0,STOP
BASE,XRPUSDT,1,1667606400000,1667808000000,0.5065531499999999,0.46406597094000007,98.60771757129527,1,-4.189563753149513,0.09571053614695041,0.0,-4.2852742892964635,4.738534233164486,-0.9043459598338014,56.0,STOP
BASE,LINKUSDT,1,1667606400000,1667937600000,8.838273529511628,7.5556226988000015,11.303123802010237,2,-14.497961134284793,0.18530223866591505,0.0,-14.683263372950709,14.227120946490352,-1.032061471057704,92.0,STOP
BASE,BNBUSDT,1,1667001600000,1667995200000,323.99007834814586,288.46346611499996,0.30834308386675824,2,-10.954385175306705,0.18884581462489314,0.0,-11.143230989931599,11.254892201435954,-0.9900788733018598,276.0,STOP
BASE,LINKUSDT,1,1669852800000,1670112000000,7.676836499999999,7.234381000000001,6.506592911031772,1,-2.878877819747009,0.09702122208035291,0.0,-2.9758990418273616,3.578079101848278,-0.8317029772455682,72.0,DAILY_EXIT
BASE,DOGEUSDT,1,1669852800000,1670803200000,0.10681337999999999,0.093119347035,467.63851073760577,1,-6.403857181744276,0.09349624271835563,0.0,-6.497353424462632,10.230259282972398,-0.6351113148497668,264.0,STOP
BASE,LTCUSDT,1,1669248000000,1671148800000,79.049505,71.71728639834912,0.6318831465174888,1,-4.633105360965219,0.0952669945391347,0.0,-4.728372355504354,13.740225747743645,-0.34412624962008537,528.0,STOP
BASE,XRPUSDT,1,1674259200000,1674432000000,0.41310644999999996,0.4001998,120.91326569713438,1,-1.560585200709915,0.09833951469938998,0.0,-1.6589247154093052,2.2265604955779756,-0.7450615955434338,48.0,DAILY_EXIT
BASE,DOGEUSDT,1,1675209600000,1675915200000,0.096178065,0.086730311151,519.3497077535294,1,-4.906688200405432,0.09499341169969447,0.0,-5.001681612105126,5.082026401138178,-0.9841904030614526,196.0,STOP
BASE,DOTUSDT,1,1675468800000,1675972800000,7.0115039999999995,6.2728284167999995,7.124013613919347,1,-5.262334910986613,0.0946377649891133,0.0,-5.356972675975727,5.226410327948881,-1.0249812662677187,140.0,STOP
BASE,BTCUSDT,1,1674259200000,1675987200000,22677.333,21786.931085000004,0.0022026421691673337,1,-1.9612368054863367,0.09793886309461358,0.0,-2.0591756685809504,7.400397675599285,-0.2782520289916985,480.0,GAP_STOP
BASE,ETHUSDT,1,1674259200000,1676044800000,1659.3592649999998,1507.564623361452,0.030102010458868265,1,-4.569323890203726,0.09533077600989617,0.0,-4.664654666213623,7.976895076685868,-0.5847707186029115,496.0,STOP
BASE,BNBUSDT,1,1675468800000,1676289600000,332.46614999999997,290.7738198347987,0.15024100934801923,1,-6.263897766090708,0.09363620213400921,0.0,-6.357533968224717,7.625093240658141,-0.8337647511410605,228.0,STOP
BASE,ADAUSDT,1,1676505600000,1677067200000,0.41920949999999996,0.3795563069100001,119.1529532371045,1,-4.72479506195463,0.09517530483814526,0.0,-4.819970366792775,4.437229502275917,-1.0862567203973887,156.0,STOP
BASE,DOTUSDT,1,1676678400000,1677628800000,7.287641999999999,6.3027114678,6.854075701036078,1,-6.750788427960546,0.09314931147213937,0.0,-6.843937739432686,7.461748944167368,-0.9172028958147128,264.0,STOP
BASE,LTCUSDT,1,1672790400000,1677816000000,79.32601312536718,92.10609391500002,1.8890417398555759,3,24.14210605034283,0.3238424057506426,0.0,23.818263644592186,14.803673578114452,1.608942774839671,1396.0,STOP
BASE,LINKUSDT,1,1676764800000,1677816000000,7.989992999999999,7.051034519100001,6.25157618411555,1,-5.8699704770677466,0.09403012942303215,0.0,-5.964000606490779,6.451152658070859,-0.9244860449906395,292.0,STOP
BASE,BCHUSDT,1,1676937600000,1677816000000,145.0725,130.00512492,0.34431094762997777,1,-5.187862192091114,0.09471223770800878,0.0,-5.282574429799123,7.522121560742926,-0.7022718773076284,244.0,STOP
BASE,ADAUSDT,1,1679443200000,1679515200000,0.36968474999999995,0.3598809894900001,135.11525685073556,1,-1.3246376194117309,0.09857546228068818,0.0,-1.4232130816924191,1.423213081692419,-1.0000000000000002,20.0,STOP
BASE,LTCUSDT,1,1679616000000,1679688000000,93.65680499999999,89.49637342800003,0.5333307061889412,1,-2.218885908345508,0.09768121399175439,0.0,-2.316567122337262,2.3165671223372626,-0.9999999999999998,20.0,STOP
BASE,BNBUSDT,1,1679011200000,1679947200000,329.56469999999996,306.18649017000007,0.15156371404476862,1,-3.543288309552702,0.09635681159054721,0.0,-3.639645121143249,4.05555399070415,-0.8974470884830489,260.0,STOP
BASE,DOGEUSDT,1,1680566400000,1680854400000,0.09605800499999999,0.08174327191800002,519.9988272716049,1,-7.443644415346032,0.09245645548475387,0.0,-7.536100870830786,7.271377018288787,-1.0364062889155896,80.0,STOP
BASE,XRPUSDT,1,1679443200000,1681905600000,0.4912712216238187,0.48166545955885354,203.35019741212616,2,-1.9533336122045784,0.19784686618799527,0.0,-2.1511804783925736,19.215512863017928,-0.11195019845308027,684.0,STOP
BASE,SOLUSDT,1,1681257600000,1681905600000,24.119920682805713,21.762282415500007,4.1418088066647485,2,-9.764886938456591,0.19003531286174324,0.0,-9.954922251318335,11.712256981155711,-0.8499576356064575,180.0,STOP
BASE,BCHUSDT,1,1681430400000,1681905600000,132.74704871891484,126.75262198499999,0.7525598562393151,2,-4.511164921112067,0.19528903487908778,0.0,-4.7064539559911545,5.509296050708259,-0.8542750131182562,132.0,STOP
BASE,LTCUSDT,1,1681689600000,1681948800000,101.00625464269797,89.603437869,0.9890486510314535,2,-11.277940547984802,0.188522259252215,0.0,-11.466462807237017,11.692049530740642,-0.9807059726431612,72.0,STOP
BASE,DOTUSDT,1,1681430400000,1682006400000,6.775451567822878,6.23513817135,14.744419453093414,2,-7.966607353721676,0.19183359244647813,0.0,-8.158440946168154,9.046163269542694,-0.9018675324639132,160.0,STOP
BASE,LINKUSDT,1,1681516800000,1682107200000,7.7468715,7.106328058499999,6.447770554868498,1,-4.130077141217839,0.09577002275888206,0.0,-4.225847163976722,4.71101481423753,-0.8970141955838167,164.0,STOP
BASE,ETHUSDT,1,1679097600000,1682553600000,1899.8874190887448,1787.3260599149999,0.07887317340204478,3,-8.878071600480625,0.2908222280998191,0.0,-9.168893828580444,19.879066851469343,-0.46123361308092453,960.0,STOP
BASE,BTCUSDT,1,1679097600000,1682985600000,28486.399877177104,27724.91882589,0.003506940165511699,2,-2.6704684840348207,0.197129731316165,0.0,-2.867598215350986,13.863818551397635,-0.20684043178435124,1080.0,STOP
BASE,BNBUSDT,1,1681603200000,1683072000000,333.26655,321.2393,0.14988017834388107,1,-1.8026463749864408,0.09809745352511348,0.0,-1.9007438285115543,3.9335524855866364,-0.4832130333779146,408.0,DAILY_EXIT
BASE,ADAUSDT,1,1680307200000,1683115200000,0.4117892626092233,0.38149573671000003,242.60006020337244,2,-7.349211206923993,0.19245098859327583,0.0,-7.541662195517269,13.606585213205136,-0.5542656057596373,780.0,STOP
BASE,LTCUSDT,1,1684368000000,1684900800000,93.92693999999999,88.510430646,0.5317968407152406,1,-2.8804825621617405,0.09701961733793817,0.0,-2.9775021794996785,2.893917562158672,-1.028882860532716,148.0,STOP
BASE,ETHUSDT,1,1685318400000,1685520000000,1905.5537735838834,1864.8070720290002,0.0524257574280951,2,-2.136176691711292,0.19766402310848852,0.0,-2.3338407148197806,2.3462882791623896,-0.9946947847572027,56.0,STOP
BASE,XRPUSDT,1,1685404800000,1686787200000,0.5179971611914451,0.4705412916600001,289.2875889618383,3,-13.7283940788393,0.28597190562146046,0.0,-14.01436598446076,15.888956630068138,-0.8820192735588491,384.0,STOP
BASE,ADAUSDT,1,1689292800000,1689336000000,0.35687835,0.34897334604,139.96379984958446,1,-1.1064143920676113,0.09879368550803229,0.0,-1.2052080775756437,1.2052080775756435,-1.0000000000000002,12.0,STOP
BASE,UNIUSDT,1,1689292800000,1689480000000,5.8759365,5.690479986675001,8.50078110102959,1,-1.5765252235359921,0.09832357467656391,0.0,-1.6748487982125562,1.7290491404674835,-0.9686530932022712,52.0,STOP
