time,spot,futures,equity
1640998800000,3000.0,1000.0,5000.0
1641002400000,3000.0,1000.0,5000.0
1641006000000,3000.0,1000.0,5000.0
1641009600000,3000.0,1000.0,5000.0
1641013200000,3000.0,1000.0,5000.0
1641016800000,3000.0,1000.0,5000.0
1641020400000,3000.0,1000.0,5000.0
1641024000000,3000.0,1000.0,5000.0
1641027600000,3000.0,1000.0,5000.0
1641031200000,3000.0,1000.0,5000.0
1641034800000,3000.0,1000.0,5000.0
1641038400000,3000.0,1000.0,5000.0
1641042000000,3000.0,1000.0,5000.0
1641045600000,3000.0,1000.0,5000.0
1641049200000,3000.0,1000.0,5000.0
1641052800000,3000.0,1000.0,5000.0
1641056400000,3000.0,1000.0,5000.0
1641060000000,3000.0,1000.0,5000.0
1641063600000,3000.0,1000.0,5000.0
1641067200000,3000.0,1000.0,5000.0
1641070800000,3000.0,1000.0,5000.0
1641074400000,3000.0,1000.0,5000.0
1641078000000,3000.0,1000.0,5000.0
1641081600000,3000.0,1000.0,5000.0
1641085200000,3000.0,1000.0,5000.0
1641088800000,3000.0,1000.0,5000.0
1641092400000,3000.0,1000.0,5000.0
1641096000000,3000.0,1000.0,5000.0
1641099600000,3000.0,1000.0,5000.0
1641103200000,3000.0,1000.0,5000.0
1641106800000,3000.0,1000.0,5000.0
1641110400000,3000.0,1000.0,5000.0
1641114000000,3000.0,1000.0,5000.0
1641117600000,3000.0,1000.0,5000.0
1641121200000,3000.0,1000.0,5000.0
1641124800000,3000.0,1000.0,5000.0
1641128400000,3000.0,1000.0,5000.0
1641132000000,3000.0,1000.0,5000.0
1641135600000,3000.0,1000.0,5000.0
1641139200000,3000.0,1000.0,5000.0
1641142800000,3000.0,1000.0,5000.0
1641146400000,3000.0,1000.0,5000.0
1641150000000,3000.0,1000.0,5000.0
1641153600000,3000.0,1000.0,5000.0
1641157200000,3000.0,1000.0,5000.0
1641160800000,3000.0,1000.0,5000.0
1641164400000,3000.0,1000.0,5000.0
1641168000000,3000.0,1000.0,5000.0
1641171600000,3000.0,1000.0,5000.0
1641175200000,3000.0,1000.0,5000.0
1641178800000,3000.0,1000.0,5000.0
1641182400000,3000.0,1000.0,5000.0
1641186000000,3000.0,1000.0,5000.0
1641189600000,3000.0,1000.0,5000.0
1641193200000,3000.0,1000.0,5000.0
1641196800000,3000.0,1000.0,5000.0
1641200400000,3000.0,1000.0,5000.0
1641204000000,3000.0,1000.0,5000.0
1641207600000,3000.0,1000.0,5000.0
1641211200000,3000.0,1000.0,5000.0
1641214800000,3000.0,1000.0,5000.0
1641218400000,3000.0,1000.0,5000.0
1641222000000,3000.0,1000.0,5000.0
1641225600000,3000.0,1000.0,5000.0
1641229200000,3000.0,1000.0,5000.0
1641232800000,3000.0,1000.0,5000.0
1641236400000,3000.0,1000.0,5000.0
1641240000000,3000.0,1000.0,5000.0
1641243600000,3000.0,1000.0,5000.0
1641247200000,3000.0,1000.0,5000.0
1641250800000,3000.0,1000.0,5000.0
1641254400000,3000.0,1000.0,5000.0
1641258000000,3000.0,1000.0,5000.0
1641261600000,3000.0,1000.0,5000.0
1641265200000,3000.0,1000.0,5000.0
1641268800000,3000.0,1000.0,5000.0
1641272400000,3000.0,1000.0,5000.0
1641276000000,3000.0,1000.0,5000.0
1641279600000,3000.0,1000.0,5000.0
1641283200000,3000.0,1000.0,5000.0
1641286800000,3000.0,1000.0,5000.0
1641290400000,3000.0,1000.0,5000.0
1641294000000,3000.0,1000.0,5000.0
1641297600000,3000.0,1000.0,5000.0
1641301200000,3000.0,1000.0,5000.0
1641304800000,3000.0,1000.0,5000.0
1641308400000,3000.0,1000.0,5000.0
1641312000000,3000.0,1000.0,5000.0
1641315600000,3000.0,1000.0,5000.0
1641319200000,3000.0,1000.0,5000.0
1641322800000,3000.0,1000.0,5000.0
1641326400000,3000.0,1000.0,5000.0
1641330000000,3000.0,1000.0,5000.0
1641333600000,3000.0,1000.0,5000.0
1641337200000,3000.0,1000.0,5000.0
1641340800000,3000.0,1000.0,5000.0
1641344400000,3000.0,1000.0,5000.0
1641348000000,3000.0,1000.0,5000.0
1641351600000,3000.0,1000.0,5000.0
1641355200000,3000.0,1000.0,5000.0
1641358800000,3000.0,1001.036671322458,5001.036671322458
1641362400000,3000.0,1000.1841076998564,5000.184107699856
1641366000000,3000.0,999.7213915457094,4999.72139154571
1641369600000,3000.0,999.7213915457094,4999.72139154571
1641373200000,3000.0,1000.7759764363068,5000.775976436307
1641376800000,3000.0,1001.1038855219228,5001.103885521923
1641380400000,3000.0,1000.8634188591378,5000.863418859138
1641384000000,3000.0,999.9015522079974,4999.901552207997
1641387600000,3000.0,999.4862006995504,4999.48620069955
1641391200000,3000.0,1003.5121955840584,5003.512195584059
1641394800000,3000.0,1003.457544069789,5003.457544069789
1641398400000,3000.0,1005.3739905035004,5005.3739905035
1641402000000,3000.0,1004.176366328388,5004.176366328388
1641405600000,3000.0,1002.1688340375608,5002.16883403756
1641409200000,3000.0,1003.9322562313182,5003.932256231318
1641412800000,3000.0,998.8642391414082,4998.864239141409
1641416400000,3000.0,999.4221102978707,4999.422110297871
1641420000000,3000.0,1000.2247989719218,5000.224798971922
1641423600000,3000.0,1001.1805027495666,5001.180502749567
1641427200000,3000.0,1000.8601890992418,5000.860189099241
1641430800000,3000.0,1000.4993941680104,5000.49939416801
1641434400000,3000.0,1003.5011758676994,5003.501175867699
1641438000000,3000.0,1007.6532155671144,5007.653215567114
1641441600000,3000.0,1011.328602268191,5011.328602268191
1641445200000,3000.0,1008.4245793852774,5008.424579385277
1641448800000,3000.0,1007.6732762901772,5007.6732762901775
1641452400000,3000.0,1006.7119001599884,5006.7119001599885
1641456000000,3000.0,1004.6744899842512,5004.674489984251
1641459600000,3000.0,1007.2791345050896,5007.27913450509
1641463200000,3000.0,1014.7634366435078,5014.763436643508
1641466800000,3000.0,1009.237798415849,5009.237798415849
1641470400000,3000.0,1011.5406817648344,5011.5406817648345
1641474000000,3000.0,1009.0074306790656,5009.007430679066
1641477600000,3000.0,1005.3273858949292,5005.327385894929
1641481200000,3000.0,1007.3394234149728,5007.339423414973
1641484800000,3000.0,1005.3351136461694,5005.33511364617
1641488400000,3000.0,1003.7849202336196,5003.78492023362
1641492000000,3000.0,1001.1579227317268,5001.157922731727
1641495600000,3000.0,995.1636254140548,4995.163625414055
1641499200000,3000.0,997.275943016346,4997.275943016346
1641502800000,3000.0,996.4974659365414,4996.497465936542
1641506400000,3000.0,997.0626204503473,4997.062620450348
1641510000000,3000.0,995.8471693056848,4995.847169305685
1641513600000,3000.0,998.222716900123,4998.2227169001235
1641517200000,3000.0,1000.1094958412684,5000.109495841269
1641520800000,3000.0,998.8600990593172,4998.860099059317
1641524400000,3000.0,1001.6096809384412,5001.609680938442
1641528000000,3000.0,1012.8035012872018,5012.803501287202
1641531600000,3000.0,1015.6870307968288,5015.687030796829
1641535200000,3000.0,1015.1454480128112,5015.145448012811
1641538800000,3000.0,1020.0417249165042,5020.041724916504
1641542400000,3000.0,1016.1353409050224,5016.1353409050225
1641546000000,3000.0,1008.7504615401148,5008.750461540115
1641549600000,3000.0,1005.0013919929077,5005.001391992908
1641553200000,3000.0,1006.3652406288088,5006.365240628809
1641556800000,3000.0,1006.8963316001284,5006.896331600128
1641560400000,3000.0,1005.5795321547704,5005.57953215477
1641564000000,3000.0,1015.8038865649432,5015.803886564943
1641567600000,3000.0,1011.5518687452447,5011.551868745245
1641571200000,3000.0,1018.1721821775576,5018.172182177557
1641574800000,3000.0,1007.8050823646936,5007.805082364694
1641578400000,3000.0,1009.3519386023854,5009.351938602385
1641582000000,3000.0,1013.4563663951128,5013.456366395113
1641585600000,3000.0,1012.2767574166712,5012.276757416671
1641589200000,3000.0,1011.0536528510712,5011.053652851071
1641592800000,3000.0,1012.072271615308,5012.072271615308
1641596400000,3000.0,1015.3899831144208,5015.389983114421
1641600000000,3000.0,1015.2683619490324,5015.268361949033
1641603600000,3000.0,1009.807840634265,5009.807840634265
1641607200000,3000.0,1011.0092079445552,5011.009207944555
1641610800000,3000.0,1011.4700762130852,5011.470076213085
1641614400000,3000.0,1012.1762514104456,5012.176251410446
1641618000000,3000.0,1010.7500739442302,5010.75007394423
1641621600000,3000.0,1010.1048086741896,5010.104808674189
1641625200000,3000.0,1010.0584458467092,5010.058445846709
1641628800000,3000.0,1009.104866014423,5009.104866014422
1641632400000,3000.0,1009.2375059510008,5009.237505951001
1641636000000,3000.0,1007.0762385833028,5007.076238583302
1641639600000,3000.0,1010.155501941043,5010.1555019410425
1641643200000,3000.0,1008.90252120478,5008.90252120478
1641646800000,3000.0,1010.354071931036,5010.354071931036
1641650400000,3000.0,1009.9936343768388,5009.993634376839
1641654000000,3000.0,1013.6064944036096,5013.60649440361
1641657600000,3000.0,1016.99931989763,5016.99931989763
1641661200000,3000.0,1021.2429275557012,5021.242927555701
1641664800000,3000.0,1030.9596764328226,5030.959676432823
1641668400000,3000.0,1033.5979087870153,5033.5979087870155
1641672000000,3000.0,1032.5254531592298,5032.52545315923
1641675600000,3000.0,1031.708733268783,5031.708733268782
1641679200000,3000.0,1022.6446759013448,5022.644675901345
1641682800000,3000.0,1019.2830391500634,5019.283039150063
1641686400000,3000.0,1023.5636657625907,5023.563665762591
1641690000000,3000.0,1021.1812283749972,5021.181228374997
1641693600000,3000.0,1022.3409731970067,5022.340973197007
1641697200000,3000.0,1018.9074822728768,5018.907482272876
1641700800000,3000.0,1021.9795647445115,5021.979564744512
1641704400000,3000.0,1019.5704061090972,5019.570406109097
1641708000000,3000.0,1022.4202039664708,5022.420203966471
1641711600000,3000.0,1020.673541392842,5020.673541392842
1641715200000,3000.0,1022.2203107712108,5022.22031077121
1641718800000,3000.0,1024.7012241476416,5024.701224147641
1641722400000,3000.0,1026.2921001444945,5026.292100144495
1641726000000,3000.0,1025.361572589732,5025.3615725897325
1641729600000,3000.0,1024.25238641128,5024.25238641128
1641733200000,3000.0,1024.7275052544994,5024.727505254499
1641736800000,3000.0,1027.5950537165436,5027.595053716544
1641740400000,3000.0,1026.7417721235963,5026.741772123596
1641744000000,3000.0,1026.1506717881202,5026.15067178812
1641747600000,3000.0,1019.9199288116898,5019.91992881169
1641751200000,3000.0,1020.0560828699918,5020.056082869992
1641754800000,3000.0,1021.2563335428108,5021.256333542811
1641758400000,3000.0,1015.812516140158,5015.812516140159
1641762000000,3000.0,1017.3819000580949,5017.381900058095
1641765600000,3000.0,1018.645347316586,5018.645347316586
1641769200000,3000.0,1019.348065737552,5019.348065737552
1641772800000,3000.0,1022.3309700270876,5022.3309700270875
1641776400000,3000.0,1024.6655552964942,5024.665555296494
1641780000000,3000.0,1023.5283829855176,5023.528382985518
1641783600000,3000.0,1023.7571146749108,5023.757114674911
1641787200000,3000.0,1023.8180465908824,5023.818046590883
1641790800000,3000.0,1021.2276158279486,5021.227615827949
1641794400000,3000.0,1021.4662836415072,5021.466283641507
1641798000000,3000.0,1023.0375628791484,5023.037562879148
1641801600000,3000.0,1021.7903755125092,5021.790375512509
1641805200000,3000.0,1024.1956529266747,5024.1956529266745
1641808800000,3000.0,1024.506228650962,5024.506228650962
