strategy,symbol,time,entry,qty,fee,stop,risk,pyramid
KELTNER,DOTUSDT,1641153600000,29.908969999999997,3.5108890288821515,0.052503537319082694,28.237541428571426,6.0,False
KELTNER,LINKUSDT,1641153600000,21.9835931,4.7565863457116375,0.052283429384570285,20.749878814285715,5.99949602272855,False
KELTNER,SOLUSDT,1641268800000,167.789648,0.9277008241883719,0.0778292973699384,174.0653622857143,6.029023298728903,False
KELTNER,LINKUSDT,1641355200000,25.588674299999997,2.956202601592621,0.037822652768483116,23.561817157142855,6.085335367656132,False
KELTNER,BNBUSDT,1641412800000,492.362247,0.3467422248833391,0.08536139048667009,509.3379612857143,6.1128720045768,False
KELTNER,BCHUSDT,1641427200000,399.330165,0.3498655303481578,0.06985592998087119,416.45873642857146,6.179138157978784,False
KELTNER,DOGEUSDT,1641427200000,0.158822339,657.4147394235605,0.052206073304162694,0.16800662471428573,6.178467465583922,False
KELTNER,BNBUSDT,1641542400000,447.02585200000004,0.227709254685098,0.05089596179194547,474.08870914285717,6.299738693890041,False
KELTNER,ADAUSDT,1641830400000,1.11226622,73.11644923595797,0.040662478305750434,1.199109077142857,6.460456663660531,False
KELTNER,DOGEUSDT,1641902400000,0.160048,574.505774780221,0.0459742501210124,0.149168,6.365142526978132,False
KELTNER,BNBUSDT,1641945600000,463.028867,0.2563817093402888,0.05935606619767862,439.01029557142857,6.307304949832413,False
KELTNER,ADAUSDT,1641988800000,1.2437730200000001,81.83937155343372,0.05089480115595818,1.1682444485714287,6.308577993133642,False
KELTNER,DOTUSDT,1642003200000,27.116132399999998,3.4586148270937014,0.046892128786037955,25.314703828571428,6.3473696108115965,False
KELTNER,DOGEUSDT,1642176000000,0.194148227,277.9423328857738,0.026981005569008388,0.1716339412857143,6.322810415038385,False
KELTNER,ADAUSDT,1642392000000,1.4548363199999998,74.19613549275478,0.05397161635925037,1.3720077485714284,6.280954393342032,False
KELTNER,LINKUSDT,1642464000000,23.7658681,4.78070229124104,0.05680877003950117,25.05329667142857,6.307457339370347,False
KELTNER,BNBUSDT,1642507200000,465.970167,0.32147482063811944,0.07489883792951979,484.810167,6.256191246074784,False
KELTNER,DOTUSDT,1642507200000,24.912524,4.272136605560667,0.053214852858654335,26.343238285714285,6.255472136315639,False
KELTNER,ADAUSDT,1642737600000,1.2061380499999999,47.35140056309256,0.028556162969968678,1.3418380499999998,6.50498107886535,False
KELTNER,BCHUSDT,1642809600000,314.465632,0.3097947514603197,0.048709901154126184,335.3084891428572,6.588834679015254,False
KELTNER,BNBUSDT,1642809600000,383.50491400000004,0.2028623110231487,0.03889934657138695,415.45777114285715,6.588367011341695,False
KELTNER,BCHUSDT,1642867200000,284.82452700000005,0.21478528205868042,0.030588058184462624,315.4559555714286,6.663982484169121,False
KELTNER,LINKUSDT,1642939200000,16.1271604,2.8530643778084137,0.023005913426221245,18.41401754285714,6.589593547308367,False
