strategy,symbol,time,entry,qty,fee,stop,risk,pyramid
B_SAFE,BNBUSDT,1667001600000,298.04894999999993,0.1675900886416475,0.04995004995004996,289.682415,1.5248959706843486,False
B_SAFE,UNIUSDT,1667088000000,7.103549999999999,7.031702451598139,0.04995004995004995,6.825753000000001,2.0753068937207497,False
B_SAFE,BNBUSDT,1667606400000,354.87735,0.14075299522511076,0.04995004995004996,289.682415,9.287472539235607,True
B_SAFE,LINKUSDT,1667606400000,8.7193575,5.728638830332391,0.04995004995004996,7.639146900000001,6.303707427432836,False
B_SAFE,XRPUSDT,1667606400000,0.5065531499999999,98.60771757129527,0.04995004995004996,0.45969461999999994,4.738534233164486,False
B_SAFE,LINKUSDT,1669852800000,7.676836499999999,6.506592911031772,0.04995004995004996,7.145311799999998,3.578079101848278,False
B_SAFE,LTCUSDT,1672790400000,75.60778499999999,0.6606469155266216,0.04995004995004996,70.37118,3.579209500293279,False
B_SAFE,LTCUSDT,1673481600000,84.12204,0.5937807731487486,0.04995004995004995,72.91449,6.769698939811099,True
B_SAFE,ETHUSDT,1674259200000,1659.3592649999998,0.030102010458868265,0.04995004995004995,1398.1196790000001,7.976895076685868,False
B_SAFE,BTCUSDT,1674259200000,22677.333,0.0022026421691673337,0.04995004995004996,19369.272482999997,7.400397675599285,False
B_SAFE,XRPUSDT,1674259200000,0.41310644999999996,120.91326569713438,0.04995004995004995,0.39569838,2.2265604955779756,False
B_SAFE,LTCUSDT,1675036800000,94.90742999999999,0.5263028400416064,0.04995004995004995,79.69269026691666,8.120403544548122,True
B_SAFE,BNBUSDT,1675468800000,332.46614999999997,0.15024100934801923,0.04995004995004996,282.46977,7.625093240658141,False
B_SAFE,ADAUSDT,1676505600000,0.41920949999999996,119.1529532371045,0.04995004995004995,0.38296318500000004,4.437229502275917,False
B_SAFE,LINKUSDT,1676764800000,7.989992999999999,6.25157618411555,0.04995004995004995,6.976520099999999,6.451152658070859,False
B_SAFE,BCHUSDT,1676937600000,145.0725,0.34431094762997777,0.049950049950049945,123.55596,7.522121560742926,False
B_SAFE,BNBUSDT,1679011200000,329.56469999999996,0.15156371404476862,0.04995004995004995,303.59142,4.05555399070415,False
B_SAFE,ETHUSDT,1679097600000,1790.15463,0.027902645454739267,0.04995004995004995,1594.1207700000002,5.586511382546726,False
B_SAFE,BTCUSDT,1681171200000,29652.168674999997,0.0016845327738933063,0.04995004995004995,26427.994028482084,5.547933884488143,False
B_SAFE,SOLUSDT,1681257600000,23.001495,2.1716001481664544,0.04995004995004996,21.158973,4.120071367088323,False
B_SAFE,ADAUSDT,1681430400000,0.42531254999999996,117.44316021253067,0.04995004995004996,0.35830773,7.982308008035423,False
B_SAFE,ETHUSDT,1681430400000,2013.0059999999999,0.024813661732776732,0.04995004995004996,1702.2145140000002,7.82516099661401,True
B_SAFE,DOTUSDT,1681430400000,6.637317,7.525638740781848,0.04995004995004996,6.1336242,3.909776179214356,False
B_SAFE,BCHUSDT,1681430400000,131.16555,0.3808168375770159,0.04995004995004996,125.2845,2.3610947279899412,False
B_SAFE,LINKUSDT,1681516800000,7.7468715,6.447770554868498,0.04995004995004995,7.0345242,4.71101481423753,False
B_SAFE,BNBUSDT,1681603200000,333.26655,0.14988017834388107,0.04995004995004996,307.81674000000004,3.9335524855866364,False
B_SAFE,SOLUSDT,1681689600000,25.35267,1.9702086584982945,0.04995004995004996,21.556853999999998,7.592185614067388,True
B_SAFE,LTCUSDT,1681689600000,100.05,0.4992508740634678,0.04995004995004995,89.195733,5.535726642988941,False
B_SAFE,LTCUSDT,1684368000000,93.92693999999999,0.5317968407152406,0.04995004995004995,88.71211799999999,2.893917562158672,False
B_SAFE,ETHUSDT,1685318400000,1909.59432,0.02615741439262867,0.04995004995004996,1865.263356,1.282694750320892,False
B_SAFE,XRPUSDT,1685404800000,0.49484729999999993,100.94033038080629,0.04995004995004996,0.46399518000000006,3.2344035579313863,False
B_SAFE,XRPUSDT,1685923200000,0.5361679500000001,93.16120060896955,0.04995004995004996,0.46457136,6.78487273234458,True
B_SAFE,BTCUSDT,1687305600000,28322.154,0.0017636388090415001,0.04995004995004996,27325.865358,1.8793087024641997,False
B_SAFE,UNIUSDT,1689292800000,5.8759365,8.50078110102959,0.04995004995004995,5.686941149999999,1.7290491404674835,False
B_SAFE,LINKUSDT,1689292800000,7.128562499999999,7.007029811417093,0.04995004995004995,6.6808764,3.2570961424088347,False
B_SAFE,ETHUSDT,1689292800000,2005.492245,0.02490662832258918,0.04995004995004996,1847.9753819999999,4.042181251796407,False
